Date, Open, High, Low, Close
03/14/12, 13177.15, 13221.27, 13166.25, 13194.10
03/13/12, 12953.20, 13180.40, 12953.13, 13177.68
03/12/12, 12920.58, 12976.36, 12919.98, 12959.71
03/09/12, 12908.62, 12968.79, 12906.43, 12922.02
03/08/12, 12835.53, 12937.19, 12835.53, 12907.94
03/07/12, 12756.12, 12857.73, 12751.51, 12837.33
03/06/12, 12958.65, 12958.73, 12734.86, 12759.15
03/05/12, 12977.34, 12977.34, 12883.91, 12962.81
03/02/12, 12980.75, 12997.51, 12927.77, 12977.57
03/01/12, 12952.29, 13032.67, 12943.06, 12980.30
02/29/12, 13005.42, 13055.75, 12929.66, 12952.07
02/28/12, 12976.74, 13021.51, 12952.82, 13005.12
02/27/12, 12981.13, 13027.52, 12882.59, 12981.51
02/24/12, 12981.20, 13013.82, 12950.59, 12982.95
02/23/12, 12937.08, 12996.08, 12882.67, 12984.69
02/22/12, 12966.22, 12977.91, 12914.83, 12938.67
02/21/12, 12949.34, 13005.04, 12926.11, 12965.69
02/17/12, 12903.33, 12967.92, 12903.25, 12949.87
02/16/12, 12779.81, 12914.00, 12779.58, 12904.08
02/15/12, 12864.65, 12899.47, 12753.62, 12780.95
02/14/12, 12871.77, 12878.88, 12786.93, 12878.28
02/13/12, 12799.11, 12887.93, 12799.11, 12874.04
02/10/12, 12889.55, 12889.63, 12743.56, 12801.23
02/09/12, 12884.41, 12924.71, 12846.41, 12890.46
02/08/12, 12865.79, 12893.64, 12817.69, 12883.95
02/07/12, 12844.37, 12903.71, 12782.57, 12878.20
02/06/12, 12860.72, 12860.79, 12793.43, 12845.13
02/03/12, 12705.04, 12869.95, 12704.96, 12862.23
02/02/12, 12716.54, 12741.89, 12676.05, 12705.41
02/01/12, 12632.76, 12784.62, 12632.76, 12716.46
01/31/12, 12654.78, 12720.10, 12567.33, 12632.91
01/30/12, 12659.17, 12659.32, 12529.41, 12653.72
01/27/12, 12733.95, 12733.95, 12630.72, 12660.46
01/26/12, 12757.33, 12841.95, 12695.16, 12734.63
01/25/12, 12673.63, 12778.26, 12580.12, 12756.96
01/24/12, 12708.37, 12708.52, 12613.54, 12675.75
01/23/12, 12720.25, 12764.49, 12665.83, 12708.82
01/20/12, 12623.83, 12720.48, 12620.76, 12720.48
01/19/12, 12578.19, 12625.80, 12563.58, 12623.98
01/18/12, 12474.69, 12582.28, 12453.20, 12578.95
01/17/12, 12423.12, 12573.65, 12423.12, 12482.07
01/13/12, 12469.96, 12470.12, 12311.79, 12422.06
01/12/12, 12449.91, 12483.70, 12385.08, 12471.02
01/11/12, 12459.52, 12462.58, 12399.01, 12449.45
01/10/12, 12394.51, 12514.69, 12394.51, 12462.47
01/09/12, 12359.31, 12409.08, 12333.85, 12392.69
01/06/12, 12407.45, 12415.24, 12332.41, 12359.92
01/05/12, 12418.42, 12435.98, 12283.90, 12415.70
01/04/12, 12392.46, 12430.00, 12337.25, 12418.42
01/03/12, 12221.19, 12479.65, 12221.19, 12397.38
12/30/11, 12286.13, 12290.06, 12213.78, 12217.56
12/29/11, 12152.09, 12293.96, 12152.09, 12287.04
12/28/11, 12288.85, 12299.11, 12140.17, 12151.41
12/27/11, 12293.47, 12328.47, 12269.97, 12291.35
12/23/11, 12169.80, 12297.44, 12169.80, 12294.00
12/22/11, 12107.59, 12182.71, 12107.37, 12169.65
12/21/11, 12103.28, 12119.70, 11999.44, 12107.74
12/20/11, 11769.21, 12117.13, 11768.83, 12103.58
12/19/11, 11866.54, 11925.88, 11735.19, 11766.26
12/16/11, 11870.25, 11968.18, 11819.31, 11866.39
12/15/11, 11825.29, 11967.84, 11825.22, 11868.81
12/14/11, 11949.72, 11950.02, 11786.47, 11823.48
12/13/11, 12018.66, 12147.70, 11904.38, 11954.94
12/12/11, 12181.08, 12181.38, 11940.86, 12021.39
12/09/11, 11996.03, 12212.83, 11995.51, 12184.26
12/08/11, 12195.91, 12195.91, 11966.22, 11997.70
12/07/11, 12144.41, 12257.67, 12060.37, 12196.37
12/06/11, 12097.75, 12215.71, 12076.71, 12150.13
12/05/11, 12021.54, 12186.53, 12021.46, 12097.83
12/02/11, 12022.37, 12146.68, 12007.12, 12019.42
12/01/11, 12046.21, 12062.64, 11974.62, 12020.03
11/30/11, 11559.27, 12045.68, 11559.27, 12045.68
11/29/11, 11523.01, 11624.01, 11517.04, 11555.63
11/28/11, 11232.47, 11562.10, 11232.16, 11523.01
11/25/11, 11251.88, 11361.47, 11231.56, 11231.78
11/23/11, 11492.74, 11492.82, 11257.55, 11257.55
11/22/11, 11542.39, 11571.75, 11433.97, 11493.72
11/21/11, 11795.55, 11795.70, 11454.07, 11547.31
11/18/11, 11768.98, 11854.81, 11755.82, 11796.16
11/17/11, 11905.67, 11948.43, 11676.35, 11770.73
11/16/11, 12084.74, 12109.03, 11890.57, 11905.59
11/15/11, 12077.92, 12165.11, 12001.26, 12096.16
11/14/11, 12153.00, 12170.56, 12027.03, 12078.98
11/11/11, 11896.28, 12179.72, 11896.28, 12153.68
11/10/11, 11780.03, 11961.14, 11779.88, 11893.79
11/09/11, 12166.40, 12166.40, 11736.93, 11780.94
11/08/11, 12055.52, 12187.51, 12002.17, 12170.18
